EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:AsBuiltDiameter,As-Built Diameter,https://w3id.org/energy-domain/edo#AsBuiltDiameter,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltDisplacedVolume,As-Built Displaced Volume,https://w3id.org/energy-domain/edo#AsBuiltDisplacedVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltInternalVolume,As-Built Internal Volume,https://w3id.org/energy-domain/edo#AsBuiltInternalVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltLength,As-built Length,https://w3id.org/energy-domain/edo#AsBuiltLength,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltMass,As-Built Mass,https://w3id.org/energy-domain/edo#AsBuiltMass,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltThickness,As-Built Thickness,https://w3id.org/energy-domain/edo#AsBuiltThickness,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltVolume,As-Built Volume,https://w3id.org/energy-domain/edo#AsBuiltVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AsBuiltWeight,As-Built Weight,https://w3id.org/energy-domain/edo#AsBuiltWeight,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Asset,Asset,https://w3id.org/energy-domain/edo#Asset,closeMatch,lis:PhysicalArtefact,Physical Artefact,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalArtefact,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:AttachmentPoint,Attachment Point,https://w3id.org/energy-domain/edo#AttachmentPoint,closeMatch,lis:Feature,Feature,http://rds.posccaesar.org/ontology/lis14/rdl/Feature,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
